model,top_k,pool_size,mean_recall,all_top_k_contained,any_hit
sentence-transformers/all-MiniLM-L6-v2,1,10,0.9,0.9,0.9
sentence-transformers/all-MiniLM-L6-v2,1,25,0.9666666666666667,0.9666666666666667,0.9666666666666667
sentence-transformers/all-MiniLM-L6-v2,1,50,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L6-v2,1,75,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L6-v2,1,100,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L6-v2,5,10,0.7533333333333334,0.425,1.0
sentence-transformers/all-MiniLM-L6-v2,5,25,0.8866666666666667,0.6416666666666667,1.0
sentence-transformers/all-MiniLM-L6-v2,5,50,0.9766666666666668,0.9166666666666666,1.0
sentence-transformers/all-MiniLM-L6-v2,5,75,0.9900000000000001,0.9583333333333334,1.0
sentence-transformers/all-MiniLM-L6-v2,5,100,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L6-v2,10,10,0.5791666666666667,0.025,1.0
sentence-transformers/all-MiniLM-L6-v2,10,25,0.7841666666666666,0.25833333333333336,1.0
sentence-transformers/all-MiniLM-L6-v2,10,50,0.9533333333333334,0.7666666666666667,1.0
sentence-transformers/all-MiniLM-L6-v2,10,75,0.9841666666666666,0.9166666666666666,1.0
sentence-transformers/all-MiniLM-L6-v2,10,100,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L12-v2,1,10,0.9,0.9,0.9
sentence-transformers/all-MiniLM-L12-v2,1,25,0.9583333333333334,0.9583333333333334,0.9583333333333334
sentence-transformers/all-MiniLM-L12-v2,1,50,0.9916666666666667,0.9916666666666667,0.9916666666666667
sentence-transformers/all-MiniLM-L12-v2,1,75,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L12-v2,1,100,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L12-v2,5,10,0.735,0.31666666666666665,0.975
sentence-transformers/all-MiniLM-L12-v2,5,25,0.8766666666666667,0.575,1.0
sentence-transformers/all-MiniLM-L12-v2,5,50,0.9566666666666668,0.8083333333333333,1.0
sentence-transformers/all-MiniLM-L12-v2,5,75,0.9983333333333333,0.9916666666666667,1.0
sentence-transformers/all-MiniLM-L12-v2,5,100,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L12-v2,10,10,0.56,0.0,1.0
sentence-transformers/all-MiniLM-L12-v2,10,25,0.7783333333333334,0.18333333333333332,1.0
sentence-transformers/all-MiniLM-L12-v2,10,50,0.9233333333333335,0.525,1.0
sentence-transformers/all-MiniLM-L12-v2,10,75,0.99,0.9,1.0
sentence-transformers/all-MiniLM-L12-v2,10,100,1.0,1.0,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,1,10,0.9416666666666667,0.9416666666666667,0.9416666666666667
sentence-transformers/paraphrase-MiniLM-L3-v2,1,25,0.9666666666666667,0.9666666666666667,0.9666666666666667
sentence-transformers/paraphrase-MiniLM-L3-v2,1,50,0.9833333333333333,0.9833333333333333,0.9833333333333333
sentence-transformers/paraphrase-MiniLM-L3-v2,1,75,1.0,1.0,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,1,100,1.0,1.0,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,5,10,0.735,0.3,0.9916666666666667
sentence-transformers/paraphrase-MiniLM-L3-v2,5,25,0.9016666666666666,0.625,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,5,50,0.975,0.875,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,5,75,0.9916666666666667,0.9583333333333334,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,5,100,0.9966666666666666,0.9833333333333333,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,10,10,0.575,0.0,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,10,25,0.8291666666666667,0.3,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,10,50,0.9566666666666668,0.7,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,10,75,0.9858333333333335,0.8833333333333333,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,10,100,0.9983333333333333,0.9833333333333333,1.0
sentence-transformers/paraphrase-albert-small-v2,1,10,0.8833333333333333,0.8833333333333333,0.8833333333333333
sentence-transformers/paraphrase-albert-small-v2,1,25,0.9833333333333333,0.9833333333333333,0.9833333333333333
sentence-transformers/paraphrase-albert-small-v2,1,50,1.0,1.0,1.0
sentence-transformers/paraphrase-albert-small-v2,1,75,1.0,1.0,1.0
sentence-transformers/paraphrase-albert-small-v2,1,100,1.0,1.0,1.0
sentence-transformers/paraphrase-albert-small-v2,5,10,0.705,0.25,0.9916666666666667
sentence-transformers/paraphrase-albert-small-v2,5,25,0.9183333333333334,0.675,1.0
sentence-transformers/paraphrase-albert-small-v2,5,50,0.995,0.975,1.0
sentence-transformers/paraphrase-albert-small-v2,5,75,1.0,1.0,1.0
sentence-transformers/paraphrase-albert-small-v2,5,100,1.0,1.0,1.0
sentence-transformers/paraphrase-albert-small-v2,10,10,0.5866666666666667,0.008333333333333333,1.0
sentence-transformers/paraphrase-albert-small-v2,10,25,0.8975000000000002,0.38333333333333336,1.0
sentence-transformers/paraphrase-albert-small-v2,10,50,0.9941666666666666,0.95,1.0
sentence-transformers/paraphrase-albert-small-v2,10,75,0.9991666666666668,0.9916666666666667,1.0
sentence-transformers/paraphrase-albert-small-v2,10,100,1.0,1.0,1.0
intfloat/e5-small-v2,1,10,0.85,0.85,0.85
intfloat/e5-small-v2,1,25,0.9166666666666666,0.9166666666666666,0.9166666666666666
intfloat/e5-small-v2,1,50,0.9583333333333334,0.9583333333333334,0.9583333333333334
intfloat/e5-small-v2,1,75,0.975,0.975,0.975
intfloat/e5-small-v2,1,100,1.0,1.0,1.0
intfloat/e5-small-v2,5,10,0.63,0.21666666666666667,0.9833333333333333
intfloat/e5-small-v2,5,25,0.7966666666666667,0.4666666666666667,0.9833333333333333
intfloat/e5-small-v2,5,50,0.9033333333333334,0.7,0.9916666666666667
intfloat/e5-small-v2,5,75,0.975,0.9,1.0
intfloat/e5-small-v2,5,100,0.9966666666666666,0.9833333333333333,1.0
intfloat/e5-small-v2,10,10,0.4791666666666667,0.0,0.9916666666666667
intfloat/e5-small-v2,10,25,0.7025000000000001,0.19166666666666668,0.9916666666666667
intfloat/e5-small-v2,10,50,0.8450000000000001,0.35,1.0
intfloat/e5-small-v2,10,75,0.9450000000000001,0.6666666666666666,1.0
intfloat/e5-small-v2,10,100,0.9866666666666667,0.875,1.0
BAAI/bge-small-en-v1.5,1,10,0.9333333333333333,0.9333333333333333,0.9333333333333333
BAAI/bge-small-en-v1.5,1,25,0.9833333333333333,0.9833333333333333,0.9833333333333333
BAAI/bge-small-en-v1.5,1,50,0.9916666666666667,0.9916666666666667,0.9916666666666667
BAAI/bge-small-en-v1.5,1,75,1.0,1.0,1.0
BAAI/bge-small-en-v1.5,1,100,1.0,1.0,1.0
BAAI/bge-small-en-v1.5,5,10,0.7366666666666667,0.23333333333333334,1.0
BAAI/bge-small-en-v1.5,5,25,0.8866666666666667,0.5583333333333333,1.0
BAAI/bge-small-en-v1.5,5,50,0.9666666666666668,0.8583333333333333,1.0
BAAI/bge-small-en-v1.5,5,75,0.995,0.975,1.0
BAAI/bge-small-en-v1.5,5,100,1.0,1.0,1.0
BAAI/bge-small-en-v1.5,10,10,0.5641666666666667,0.0,1.0
BAAI/bge-small-en-v1.5,10,25,0.8041666666666667,0.3,1.0
BAAI/bge-small-en-v1.5,10,50,0.9375,0.625,1.0
BAAI/bge-small-en-v1.5,10,75,0.9850000000000001,0.8833333333333333,1.0
BAAI/bge-small-en-v1.5,10,100,1.0,1.0,1.0
